date,symbol,rsi,atr,volume_spike,signal
2020-03-10,MSFT,64.971,9.37182,0,HOLD
2020-03-11,MSFT,64.9429,9.83018,0,HOLD
2020-03-12,MSFT,67.5601,10.2552,0,HOLD
2020-03-13,MSFT,60.7101,10.1981,0,HOLD
2020-03-16,MSFT,67.8683,10.9183,0,HOLD
2020-03-17,MSFT,66.2866,11.4052,0,HOLD
2020-03-24,AAPL,70.2726,4.85461,0,HOLD
2020-03-25,AAPL,63.8478,4.96127,0,HOLD
2020-03-26,AAPL,61.6434,4.89914,0,HOLD
2020-03-27,AAPL,53.919,4.64457,0,HOLD
2020-03-30,AAPL,60.2357,4.53636,0,HOLD
2020-03-31,AAPL,58.1568,4.34875,0,HOLD
2020-04-01,AAPL,53.8938,4.18841,0,HOLD
2020-04-02,AAPL,60.3648,3.97423,0,HOLD
2020-04-03,AAPL,49.5661,3.46129,0,HOLD
2020-04-06,AAPL,48.3133,3.33789,0,HOLD
2020-04-07,AAPL,36.2273,3.37603,0,HOLD
2020-04-08,AAPL,43.2134,3.37293,0,HOLD
2020-04-09,AAPL,40.9458,3.32529,0,HOLD
2020-03-18,MSFT,64.5819,11.5793,0,HOLD
2020-03-19,MSFT,55.9742,11.3317,0,HOLD
2020-03-20,MSFT,63.5967,11.1848,0,HOLD
2020-03-23,MSFT,75.7237,11.1678,0,HOLD
2020-03-24,MSFT,66.9591,11.0652,0,HOLD
2020-03-25,MSFT,61.327,11.2862,0,HOLD
2020-04-13,AAPL,29.9112,3.00669,0,BUY
2020-04-14,AAPL,28.9261,2.84135,0,HOLD
2020-03-26,MSFT,59.769,11.397,0,HOLD
2020-03-27,MSFT,49.4184,11.1372,0,HOLD
2020-03-30,MSFT,54.931,10.9693,0,HOLD
2020-03-24,GOOG,67.8849,4.1903,0,HOLD
2020-03-25,GOOG,65.3692,4.18817,0,HOLD
2020-03-26,GOOG,62.3443,4.12096,0,HOLD
2020-03-27,GOOG,56.5111,4.03418,0,HOLD
2020-03-30,GOOG,62.1058,3.98016,0,HOLD
2020-03-31,GOOG,58.9922,3.95453,0,HOLD
2020-04-01,GOOG,50.4246,3.66509,0,HOLD
2020-04-02,GOOG,59.1393,3.49377,0,HOLD
2020-04-03,GOOG,46.9675,3.16304,0,HOLD
2020-04-06,GOOG,44.3259,3.09343,0,HOLD
2020-04-07,GOOG,31.3913,3.14734,0,BUY
2020-03-31,MSFT,48.2246,11.1148,0,HOLD
2020-04-01,MSFT,43.4188,11.0726,0,HOLD
2020-04-02,MSFT,46.2047,10.5313,0,HOLD
2020-04-03,MSFT,35.803,9.3895,0,HOLD
2020-04-06,MSFT,32.6028,8.9665,0,BUY
2020-04-15,AAPL,32.7145,2.73348,0,HOLD
2020-04-07,MSFT,25.948,8.93318,0,HOLD
2020-04-08,GOOG,36.4918,3.05358,0,HOLD
2020-04-08,MSFT,32.3358,8.64484,0,HOLD
2020-04-09,MSFT,33.6545,8.10216,0,HOLD
2020-04-16,AAPL,27.8658,2.60921,0,HOLD
2020-04-17,AAPL,32.0077,2.49755,0,HOLD
2020-04-20,AAPL,35.4476,2.51947,0,HOLD
2020-04-21,AAPL,38.5493,2.50566,0,HOLD
2020-04-22,AAPL,33.8381,2.43369,0,HOLD
2020-04-23,AAPL,27.7854,2.36655,0,HOLD
2020-04-09,GOOG,38.8107,2.83401,0,HOLD
2020-04-13,GOOG,27.9537,2.64317,0,HOLD
2020-04-14,GOOG,28.5097,2.52711,0,HOLD
2020-04-15,GOOG,30.5721,2.5298,0,HOLD
2020-04-16,GOOG,24.6755,2.44887,0,HOLD
2020-04-17,GOOG,24.9181,2.3276,0,HOLD
2020-04-20,GOOG,27.921,2.25199,0,HOLD
2020-04-24,AAPL,28.1836,2.34291,0,HOLD
2020-04-27,AAPL,29.493,2.24073,0,HOLD
2020-04-28,AAPL,37.8406,1.95959,0,HOLD
2020-04-13,MSFT,25.2803,7.61252,0,HOLD
2020-04-14,MSFT,26.2733,7.30445,0,HOLD
2020-04-15,MSFT,27.821,7.129,0,HOLD
2020-04-16,MSFT,25.492,6.80054,0,HOLD
2020-04-17,MSFT,24.6297,6.68561,0,HOLD
2020-04-20,MSFT,28.7322,6.57952,0,HOLD
2020-04-21,MSFT,36.7082,6.21637,0,HOLD
2020-04-22,MSFT,31.1385,5.92939,0,HOLD
2020-04-23,MSFT,27.8959,5.68184,0,HOLD
2020-04-24,MSFT,32.7432,5.61588,0,HOLD
2020-04-27,MSFT,33.2095,5.46287,0,HOLD
2020-04-28,MSFT,42.5336,4.89095,0,HOLD
2020-04-29,MSFT,40.2278,4.85966,0,HOLD
2020-04-30,MSFT,34.7496,5.19629,0,HOLD
2020-04-21,GOOG,34.9976,2.17914,0,HOLD
2020-04-22,GOOG,29.9734,2.14813,0,HOLD
2020-04-23,GOOG,22.1138,2.18844,0,HOLD
2020-04-24,GOOG,26.3339,2.1944,0,HOLD
2020-04-27,GOOG,25.0142,2.15314,0,HOLD
2020-04-28,GOOG,36.1285,1.93013,0,HOLD
2020-04-29,GOOG,25.9241,2.16583,0,HOLD
2020-04-30,GOOG,31.9535,2.16295,0,HOLD
2020-05-01,GOOG,27.7388,2.16825,0,HOLD
2020-05-04,GOOG,37.4901,2.11986,0,HOLD
2020-05-05,GOOG,33.6056,2.09781,0,HOLD
2020-05-06,GOOG,34.1787,2.08512,0,HOLD
2020-05-07,GOOG,35.0005,2.0199,0,HOLD
2020-05-08,GOOG,29.5121,2.0356,0,HOLD
2020-05-11,GOOG,24.2081,1.99547,0,HOLD
2020-05-01,MSFT,37.7958,5.23437,0,HOLD
2020-05-04,MSFT,43.6998,5.0936,0,HOLD
2020-05-05,MSFT,40.0842,5.16636,0,HOLD
2020-05-06,MSFT,41.5177,5.07727,0,HOLD
2020-05-07,MSFT,44.538,4.80321,0,HOLD
2020-05-08,MSFT,39.7395,4.68556,0,HOLD
2020-05-11,MSFT,37.7507,4.45434,0,HOLD
2020-05-12,MSFT,31.1752,4.25713,0,HOLD
2020-05-13,MSFT,40.0612,4.35574,0,HOLD
2020-05-14,MSFT,43.9674,4.58424,0,HOLD
2020-04-29,AAPL,28.4453,1.87208,0,HOLD
2020-04-30,AAPL,28.8584,1.84792,0,HOLD
2020-05-01,AAPL,33.2648,1.89814,0,HOLD
2020-05-04,AAPL,39.7723,1.88054,0,HOLD
2020-05-05,AAPL,36.8997,1.85534,0,HOLD
2020-05-06,AAPL,36.5817,1.85171,0,HOLD
2020-05-07,AAPL,31.0181,1.82617,0,HOLD
2020-05-12,GOOG,21.3388,1.9771,0,HOLD
2020-05-13,GOOG,31.552,1.96511,0,HOLD
2020-05-14,GOOG,38.3733,2.05353,0,HOLD
2020-05-15,GOOG,40.9317,2.0073,0,HOLD
2020-05-18,GOOG,37.7546,2.03683,0,HOLD
2020-05-19,GOOG,41.664,1.78449,0,HOLD
2020-05-15,MSFT,47.088,4.52507,0,HOLD
2020-05-18,MSFT,39.4387,4.96438,0,HOLD
2020-05-19,MSFT,37.2874,4.68964,0,HOLD
2020-05-20,MSFT,43.3382,4.34893,0,HOLD
2020-05-21,MSFT,36.0872,4.16636,0,HOLD
2020-05-22,MSFT,37.6415,4.08882,0,HOLD
2020-05-26,MSFT,40.9029,3.88416,0,HOLD
